	x	Na	Nd	V	n	p	Ey	Ex
0	0.0	0.0	1e+23	1.934	1.5205256e+26	1.6853517999999997e-41	58956813.39417005	5.58185e-10
1	0.0025	0.0	1e+23	1.7758327225961699	1.3504004118100755e+25	2.196473509026204e-34	58956813.39417005	8.00979339296192e-09
2	0.005	0.0	1e+23	1.6169530621360548	2.1231589574461424e+23	1.041259205535045e-31	58956813.39417005	1.9352322341605016e-08
3	0.0075	0.0	1e+23	1.4693441005051884	7.05632571916977e+20	3.009240994647753e-29	59266216.06755189	4.000544232820177e-08
4	0.01	3e+23	0.0	1.3205451	2.180497499999978e+18	9.336496200000133e-27	59712311.99999999	-22.209367000006484
5	0.0125	3e+23	0.0	1.1731555999999999	7286510399999958.0	2.793959400000031e-24	58193385.0	5.8863163e-08
6	0.015	3e+23	0.0	1.0295847777827078	29707583205174.03	7.580958310130867e-22	56668502.33996654	5.8701894000000004e-08
7	0.0175	3e+23	0.0	0.8898147720879268	127943188207.90434	1.6310127929515166e-19	55143619.679933086	6.564721960862883e-08
8	0.02	3e+23	0.0	0.7538601299999994	658665299.9999874	3.090828400000076e-17	53636608.99999998	64.2475909999313
9	0.0225	3e+23	0.0	0.622047001333333	10339667.541333297	4.322424035333373e-14	51826283.33333333	-8690.442199984833
10	0.025	3e+23	0.0	0.49376331443496735	86289.3966509685	5.15797831388232e-12	50315762.780195065	-8968.454067891567
11	0.0275	3e+23	0.0	0.3699470131192874	1074.51387363786	1.8899473167092616e-08	48118510.12182238	-18784.904372219084
12	0.03	3e+23	0.0	0.2494806431294427	358.31309719721753	6.925818467892814e-08	46151084.12747148	2870.1869561704734
13	0.0325	3e+23	0.0	0.13437555022114123	0.18683041355481939	0.103194358653535	44616851.583040446	11871.280537305238
14	0.035	3e+23	0.0	0.024631648614636015	0.12934414055464194	0.3095812359909092	43515805.55748954	8218.578833529325
15	0.0375	3e+23	0.0	-0.08511225299186886	0.07185786755446466	0.5159681133282827	42414759.531938635	4565.877129753424
16	0.04	3e+23	0.0	-0.19485615459837408	0.014371594554287215	0.7223549906656569	41313713.506387725	913.1754259775116
17	0.0425	3e+23	0.0	-0.29387823364148985	2.1043405117552773e-08	159485.3270445123	39894791.01990504	3.405999924953574e-08
18	0.045	3e+23	0.0	-0.38932637183014235	1.402895460762319e-08	372131.397834914	38369909.713111766	3.474807958225005e-08
19	0.0475	3e+23	0.0	-0.4847745100187951	7.014504097693588e-09	584777.4686253162	36845028.40631849	3.543615991496436e-08
